bairro;classificacao_grupo;classificacao_cnae
Vigário Geral;In natura;Horta
Maré;In natura;Horta
Ilha Do Governador;In natura;Horta
Paciência;In natura;Horta
Realengo;In natura;Horta
Jacarepaguá;In natura;Horta
Anchieta;In natura;Horta
Bangu;In natura;Horta
Brás De Pina;In natura;Horta
Jardim América;In natura;Horta
Cidade De Deus;In natura;Horta
Manguinhos;In natura;Horta
Barra Da Tijuca;In natura;Horta
Jardim Sulacap;In natura;Horta
Recreio Dos Bandeirantes;In natura;Horta
Campo Grande;In natura;Horta
Inhaúma;In natura;Horta
Estácio;In natura;Horta
Tijuca;In natura;Horta
Guaratiba;In natura;Horta
Santa Teresa;In natura;Horta
Rio Das Pedras;In natura;Horta
Grajaú;In natura;Horta
Tijuca;In natura;Horta
Guaratiba;In natura;Horta
Sepetiba;In natura;Horta
Anil;In natura;Horta
Irajá;In natura;Horta
Leblon;In natura;Horta
Santa Tereza;In natura;Horta
Urca;In natura;Horta
Campo Grande;In natura;Horta
